Substance,Δ𝐻∘f (kJ mol-1),Δ𝐺∘f (kJ mol-1),𝑆° (J K-1 mol-1)
aluminum,,,
Al(s),0.00,0,28.3
Al(g),324.40,285.7,164.54
Al3+(aq),-531.00,-485,-321.7
Al2O3(s),"-1,676.00",-1582,50.92
AlF3(s),"-1,510.40",-1425,66.5
AlCl3(s),-704.20,-628.8,110.67
AlCl3·6H2O(s),"-2,691.57",-2269.4,376.56
Al2S3(s),-724.00,-492.4,116.9
Al2(SO4)3(s),"-3,445.06",-3506.61,239.32
antimony,,,
Sb(s),0.00,0,45.69
Sb(g),262.34,222.17,180.16
Sb4O6(s),"-1,440.55",-1268.17,220.92
SbCl3(g),-313.80,-301.2,337.8
SbCl5(g),-394.34,-334.29,401.94
Sb2S3(s),-174.89,-173.64,182
SbCl3(s),-382.17,-323.72,184.1
SbOCl(s),-374.00,—,—
arsenic,,,
As(s),0.00,0,35.1
As(g),302.50,261,174.21
As4(g),143.90,92.4,314
As4O6(s),"-1,313.94",-1152.52,214.22
As2O5(s),-924.87,-782.41,105.44
AsCl3(g),-261.50,-248.95,327.06
As2S3(s),-169.03,-168.62,163.59
AsH3(g),66.44,68.93,222.78
H3AsO4(s),-906.30,—,—
barium,,,
Ba(s),0.00,0,62.5
Ba(g),180.00,146,170.24
Ba2+(aq),-537.60,-560.8,9.6
BaO(s),-548.00,-520.3,72.1
BaCl2(s),-855.00,-806.7,123.7
BaSO4(s),"-1,473.20",-1362.3,132.2
beryllium,,,
Be(s),0.00,0,9.5
Be(g),324.30,286.6,136.27
BeO(s),-609.40,-580.1,13.8
bismuth,,,
Bi(s),0.00,0,56.74
Bi(g),207.10,168.2,187
Bi2O3(s),-573.88,-493.7,151.5
BiCl3(s),-379.07,-315.06,176.98
Bi2S3(s),-143.10,-140.6,200.4
boron,,,
B(s),0.00,0,5.86
B(g),565.00,521,153.4
B2O3(s),"-1,273.50",-1194.3,53.97
B2H6(g),36.40,87.6,232.1
H3BO3(s),"-1,094.33",-968.92,88.83
BF3(g),"-1,136.00",-1119.4,254.4
BCl3(g),-403.80,-388.7,290.1
B3N3H6(l),-540.99,-392.79,199.58
HBO2(s),-794.25,-723.41,37.66
bromine,,,
Br2(l),0.00,0,152.23
Br2(g),30.91,3.142,245.5
Br(g),111.88,82.429,175
Br-(aq),-120.90,-102.82,80.71
BrF3(g),-255.60,-229.45,292.42
HBr(g),-36.30,-53.43,198.7
cadmium,,,
Cd(s),0.00,0,51.76
Cd(g),112.01,77.41,167.75
Cd2+(aq),-75.90,-77.61,-73.2
CdO(s),-258.20,-228.4,54.8
CdCl2(s),-391.50,-343.9,115.3
CdSO4(s),-933.30,-822.7,123
CdS(s),-161.90,-156.5,64.9
calcium,,,
Ca(s),0.00,0,41.6
Ca(g),178.20,144.3,154.88
Ca2+(aq),-542.96,-553.04,-55.2
CaO(s),-634.90,-603.3,38.1
Ca(OH)2(s),-985.20,-897.5,83.4
CaSO4(s),"-1,434.50",-1322,106.5
CaSO4·2H2O(s),"-2,022.63",-1797.45,194.14
CaCO3(s) (calcite),"-1,220.00",-1081.4,110
CaSO3·H2O(s),"-1,752.68",-1555.19,184.1
carbon,,,
C(s) (graphite),0.00,0,5.74
C(s) (diamond),1.89,2.9,2.38
C(g),716.68,671.2,158.1
CO(g),-110.52,-137.15,197.7
CO2(g),-393.51,-394.36,213.8
CO3 2-(aq),-677.10,-527.8,-56.9
CH4(g),-74.60,-50.5,186.3
CH3OH(l),-239.20,-166.6,126.8
